variable,RMSE,MAE
petrol_share,0.015833967757780582,0.014531429426876852
greendiesel_share,0.04052795053121528,0.03637236524005216
hybrid_petrol_share,0.004193034427141537,0.004111558773645632
electric_share,0.025186437663718458,0.020366474679244694
